Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
ASK,Aerosky,ASK,,,
ASL,Air Serbia,ASL,JU,,
ASM,Awesome Flight Services (PTY) Ltd.,ASM,,,
ASN,Air and Sea Transport,ASN,,,
ASO,Aero Slovakia,ASO,,,
ASP,Airsprint,ASP,,,
ASQ,ExpressJet,ASQ,EV,,
ASR,"All Star Airlines, Inc.",ASR,,,
ASS,"Air Class, S.A. de C.V.",ASS,,,
AST,Aerolíneas Del Oeste,AST,,,
ASV,Air Seoul,ASV,RS,,
ASW,Air Southwest Ltd.,ASW,,,
ASX,Air Special,ASX,,,
ASY,Royal Australian Air Force,ASY,,,
ATA,Air Transport Association,ATA,,,
ATB,Atlantair Ltd.,ATB,,,
ATC,Air Tanzania,ATC,TC,,
ATD,Aerotours Dominicana,ATD,,,
ATE,"Atlantis Transportation Services, Ltd.",ATE,,,
ATF,Compañía Aerotécnicas Fotográficas,ATF,,,
ATG,Aerotranscargo,ATG,F5,,
ATH,Air Travel Corp.,ATH,,,
ATJ,Air Traffic GmbH,ATJ,,,
ATK,AeroTACA,ATK,,,
ATL,Atlas Air Service,ATL,,,.*
ATM,Airlines of Tasmania,ATM,FO,,
ATN,Air Transport International,ATN,8C,,
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ATP,,,
ATQ,Air Transport Schiphol,ATQ,,,
ATR,Atrak Air,ATR,,,
ATS,Air Transport Service,ATS,,,
ATU,Atlant Aerobatics Ltd.,ATU,,,
ATV,Avanti Air,ATV,,,.*
ATX,AirSWIFT,ATX,T6,,
ATZ,Ace Air,ATZ,,,
AUA,Austrian Airlines,AUA,OS,,
AUD,"Audi Air, Inc.",AUD,,,
AUF,Augusta Air Luftfahrtunternehmen,AUF,,,
AUH,Abu Dhabi Amiri Flight,AUH,MO,,
AUI,Ukraine International Airlines,AUI,PS,,
AUJ,Business Flight Salzburg,AUJ,,,
AUK,Auric Air,AUK,UI,,
AUL,Nordavia,AUL,5N,,
AUM,Air Atlantic Uruguay,AUM,,,
AUN,Common Sky,AUN,,,
AUO,"Empresa (Aero Uruguay), S.A.",AUO,,,
AUP,Avia Business Group,AUP,,,
AUR,Aurigny Air Services,AUR,GR,,
AUS,Aus-Air,AUS,NO,,
AUU,"Aurora Aviation, Inc.",AUU,,,
AUX,Air Uganda International Ltd.,AUX,,,
AUY,"Aerolíneas Uruguayas, S.A.",AUY,,,
AUZ,Amaszonas Uruguay,AUZ,Z7,,
AVA,Avianca,AVA,AV,,
AVB,Aviation Beauport,AVB,,,
AVD,"Álamo Aviación, S.L.",AVD,,,
AVE,Avensa,AVE,VE,,
AVF,Aviair Aviation Ltd.,AVF,,,
AVG,Aviation Legacy,AVG,,,
AVH,AV8 Helicopters,AVH,,,
AVJ,Avia Traffic Company,AVJ,YK,,
AVK,AV8 Helicopters,AVK,,,
AVM,"Aviación Ejecutiva Mexicana, S.A.",AVM,,,
AVN,Air Vanuatu,AVN,NF,,
AVO,Aviation at Work,AVO,,,
AVP,Avcorp Registrations,AVP,,,
AVQ,"Aviation Services, Inc.",AVQ,,,
AVR,"Active Aero Charter, Inc.",AVR,,,
AVS,Avialsa T-35,AVS,,,
AVT,Asia Avia Airlines,AVT,,,
AVU,Avia Sud Aérotaxi,AVU,,,
AVV,Airvantage Incorporated,AVV,,,
AVW,Aviator Airways,AVW,,,.*
AVX,Aeroclub de Vitoria,AVX,,,
AVY,"Aerovaradero, S.A.",AVY,,,
AVZ,Air Valencia,AVZ,,,
AWA,Air Astra,AWA,2A,,
AWB,"Airways International, Inc.",AWB,,,
AWC,Titan Airways,AWC,ZT,,
AWD,Providence Aviation Services,AWD,,,
AWE,US Airways,AWE,US,,
AWG,Anima Wings,AWG,A2,,
AWH,Aerowest,AWH,,,
AWI,Air Wisconsin,AWI,ZW,,
AWJ,Sahel Airlines,AWJ,,,
AWK,Airwork,AWK,,,
AWL,Air Walser,AWL,,,
AWN,Air Niamey,AWN,,,
AWO,Awood Air Ltd.,AWO,,,
