ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4CAC02,EI-KBI,A20N,Airbus,A320-271N,Airbus A320-271N,0,Air Astana,KZR,8483,2019
4CAC04,EI-KBK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Air Astana,KZR,9459,2022
4CAC05,EI-KBL,A20N,Airbus,A320-271N,Airbus A320-271N,0,Air Astana,KZR,9574,2020
4CAC06,EI-KBM,A20N,Airbus,A320-271N,Airbus A320-271N,0,Air Astana,KZR,10005,2020
4CAC07,EI-KBN,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,6343,2014
4CAC08,EI-KDA,A321,Airbus,A321-231,Airbus A321-231,0,Air Astana,KZR,5357,2012
4CAC09,EI-KDB,A321,Airbus,A321-231,Airbus A321-231,0,Jazeera Airways,JZR,5404,2012
4CAC0A,EI-KDC,A21N,Airbus,A321-271N,Airbus A321-271N,0,Air Astana,KZR,7567,2017
4CAC0C,EI-KDE,A21N,Airbus,A321-271N,Airbus A321-271N,0,Air Astana,KZR,8090,2018
4CAC0D,EI-KEA,B763,Boeing,767-3KY(ER),Boeing 767-3KY(ER),0,Air Astana,KZR,42220,2013
4CAC0F,EI-KEC,B763,Boeing,767-3KY(ER),Boeing 767-3KY(ER),0,Air Astana,KZR,42223,2014
4CAC11,EI-KGB,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Air Astana,KZR,8980,2020
4CAC13,EI-KGD,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Air Astana,KZR,9432,2020
4CAC14,EI-KGE,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Air Astana,KZR,10176,2021
4CAC16,EI-KGG,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Air Astana,KZR,10421,2021
4CAC17,EI-KHA,E290,Embraer,E190-E2,Embraer E190-E2,0,Air Astana,KZR,19020012,2018
4CAC18,EI-KHB,E290,Embraer,E190-E2,Embraer E190-E2,0,Air Astana,KZR,19020013,2019
4CAC1A,EI-KHD,E290,Embraer,E190-E2,Embraer E190-E2,0,Air Astana,KZR,19020017,2019
4CAC1E,EI-HEN,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,62301,2021
4CAC1F,EI-HEZ,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,62312,2019
4CAC20,EI-HGG,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,62316,2021
4CAC23,EI-HGL,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65081,2021
4CAC24,EI-HGM,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65875,2021
4CAC28,EI-HBC,CRJX,Mitsubishi,CRJ-1000,Mitsubishi CRJ-1000,0,Hibernian Airlines,HBN,19052,2016
4CAC36,EI-RZD,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Neos,NOS,43582,2019
4CAC39,EI-GTX,SKYR,Best Off,Skyranger 192,Best Off Skyranger 192,1,Private,,BMAA/HB/675,
4CAC3A,EI-STV,B734,Boeing,737-43Q(SF),Boeing 737-43Q(SF),0,ASL Airlines Ireland,ABR,28494,1996
4CAC45,EI-MAA,A332,Airbus,A330-243(P2F),Airbus A330-243(P2F),0,MasAir,MAA,854,2007
4CAC46,EI-MYY,A332,Airbus,A330-243(P2F),Airbus A330-243(P2F),0,MasAir,MAA,868,2007
