Prefix,CountryISO2,HasHyphen,DecodeFullRegex,DecodeNoHyphenRegex,FormatTemplate
YN,NI,1,YN-(?<code>[A-Z]{3}),YN(?<code>[A-Z]{3}),YN-{code}
YR,RO,1,YR-(?<code>[A-Z]{3}|\d{4}|D\d{4}),YR(?<code>[A-Z]{3}|\d{4}|D\d{4}),YR-{code}
YS,SV,1,YS-(?<code>[A-Z]{3}),YS(?<code>[A-Z]{3}),YS-{code}
YU,RS,1,"YU-(?<code>[\dA-Z]{3,5})","YU(?<code>[\dA-Z]{3,5})",YU-{code}
YV,VE,0,YV(?<code>[\dA-Z]{4}),YV(?<code>[\dA-Z]{4}),YV{code}
Z,ZW,1,Z-(?<code>[A-Z]{3}),Z(?<code>[A-Z]{3}),Z-{code}
Z3,MK,1,Z3-(?<code>[A-Z]{3}),Z3(?<code>[A-Z]{3}),Z3-{code}
Z6,KS,1,Z6-(?<code>[A-Z]{3}),Z6(?<code>[A-Z]{3}),Z6-{code}
Z8,SS,1,Z8-(?<code>[A-Z]{3}),Z8(?<code>[A-Z]{3}),Z8-{code}
ZA,AL,1,ZA-(?<code>[A-Z]{3}),ZA(?<code>[A-Z]{3}),ZA-{code}
ZJ,JE,1,ZJ-(?<code>[A-Z]{3}),ZJ(?<code>[A-Z]{3}),ZJ-{code}
ZK,NZ,1,ZK-(?<code>[\dA-Z]{3}),ZK(?<code>[\dA-Z]{3}),ZK-{code}
ZL,NZ,1,ZL-(?<code>[\dA-Z]{3}),ZL(?<code>[\dA-Z]{3}),ZL-{code}
ZM,NZ,1,ZM-(?<code>[\dA-Z]{3}),ZM(?<code>[\dA-Z]{3}),ZM-{code}
ZP,PY,1,ZP-(?<code>[A-Z]{3}),ZP(?<code>[A-Z]{3}),ZP-{code}
ZS,ZA,1,ZS-(?<code>[A-Z]{3}),ZS(?<code>[A-Z]{3}),ZS-{code}
ZT,ZA,1,ZT-(?<code>[A-Z]{3}),ZT(?<code>[A-Z]{3}),ZT-{code}
ZU,ZA,1,ZU-(?<code>[A-Z]{3}),ZU(?<code>[A-Z]{3}),ZU-{code}
